Source,Target,Source.VCB,Target.VCB,Diff.in.VCB,Corpus.Size,Language.Relatedness,Sentence.Alignment.Score,11Mapping.Proportion,Translation.Entropy,Tagger,,,,,,,,,,,,,
es,el,18496,34992,16496,858128,0.167,0.030440117,0.460104195,299.8069614,68.33,,,,,,,,,,,,,
es,it,18496,19310,814,1127527,0.788,0.099750154,0.779495975,133.1738771,74.07,,,,,,,,,,,,,
es,de,18496,29860,11364,1120264,0.253,0.065121116,0.579530389,193.2162529,70.36,,,,,,,,,,,,,
de,en,29860,14810,-15050,1136452,0.578,0.077318727,0.664693077,583.6606428,72.24,,,,,,,,,,,,,
de,da,29860,29867,7,1161767,0.707,0.078064703,0.650197252,589.622067,74.48,,,,,,,,,,,,,
de,nl,29860,21316,-8544,1140477,0.838,0.083813737,0.732409925,697.5747985,76.54,,,,,,,,,,,,,
de,pt,29860,19333,-10527,1124981,0.247,0.02900158,0.622396564,767.8043656,70.87,,,,,,,,,,,,,
de,sv,29860,29403,-457,1077411,0.695,0.054260224,0.608162324,629.6068556,66.56,,,,,,,,,,,,,
de,el,29860,34992,5132,891208,0.188,0.027362442,0.385492075,722.5992806,59.54,,,,,,,,,,,,,
de,it,29860,19310,-10550,1131569,0.265,0.072824027,0.595256949,730.6111453,56.98,,,,,,,,,,,,,
de,es,29860,18496,-11364,1120264,0.253,0.07266882,0.640217812,936.9738753,70.84,,,,,,,,,,,,,
